sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AY649950	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pinto	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Urocyon cinereoargenteus	15962560	F20/03
AY649951	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Galeras	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Canis familiaris	15962560	C64/03
AY649952	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pivijay	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Canis familiaris	15962560	C65/03
AY649953	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	COL	Colombia	Pivijay	2003	2003	2003	258	07-Jul-2004	26-Jul-2016	Canis familiaris	15962560	C66/03
AY854502	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1045
AY854503	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1051
AY854504	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1044
AY854505	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1079
AY854506	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1082
AY854507	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1139
AY854508	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1053
AY854509	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1049
AY854510	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1081
AY854511	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1106
AY854512	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1048
AY854513	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1083
AY854514	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	529	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1099
AY854515	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1074
AY854516	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	529	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1047
AY854517	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1131
AY854518	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1136
AY854519	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1042
AY854520	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1103
AY854521	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1108
AY854522	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1110
AY854523	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	529	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1041
AY854524	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1109
AY854525	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1075
AY854526	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1080
AY854527	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1050
AY854528	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1054
AY854529	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1085
AY854530	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1052
AY854531	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1121
AY854532	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1132
AY854533	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1107
AY854534	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1077
AY854535	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1058
AY854536	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1056
AY854537	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	529	30-Apr-2005	25-Jan-2012	Ovis aries	16740188	V1060
AY854538	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1087
AY854539	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1057
AY854540	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1113
AY854541	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1055
AY854542	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1063
AY854543	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1064
AY854544	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1067
AY854545	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1065
AY854546	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1122
AY854547	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1125
AY854548	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Ovis aries	16740188	V1088
AY854549	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	529	30-Apr-2005	25-Jan-2012	Sus scrofa	16740188	V1070
AY854550	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Bos taurus	16740188	V1092
AY854551	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1035
AY854552	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Capra hircus	16740188	V1069
AY854553	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	529	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1071
AY854554	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1127
AY854555	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1091
AY854556	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1111
AY854557	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1089
AY854558	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1101
AY854559	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1129
AY854560	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1114
AY854561	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1115
AY854562	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1061
AY854563	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	529	30-Apr-2005	25-Jan-2012	Ovis aries	16740188	V1117
AY854564	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1118
AY854565	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1116
AY854566	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1137
AY854567	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1036
AY854568	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1037
AY854569	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1124
AY854570	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	530	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1134
AY854571	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1135
AY854572	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1066
AY854573	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1090
AY854574	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2001	2001	2001	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1072
AY854575	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	Felis catus	16740188	V1039
AY854576	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	1402	30-Apr-2005	25-Jan-2012	mongoose	16740188	V1040
AY854577	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2000	2000	2000	530	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1038
AY854578	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	CUB	Cuba	-	2002	2002	2002	1402	30-Apr-2005	25-Jan-2012	Canis familiaris	16740188	V1095
AY854589	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Quecholac	1990	1990	1990	1367	30-Apr-2005	09-Jun-2006	Canis familiaris	16303200	V590
AY854590	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Chihuahua	1991	1991	1991	1374	30-Apr-2005	09-Jun-2006	Lynx rufus	16303200	V680
AY854591	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Coacalco	1996	1996	1996	1380	30-Apr-2005	09-Jun-2006	Canis familiaris	16303200	V682
AY854593	AL_Cosmopolitan	Cosmopolitan	MEX	Mexico	-	-	-	2005	1378	30-Apr-2005	09-Jun-2006	skunk	16303200	V684
AY962048	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V903
AY962049	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V904
AY962054	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V909
AY962057	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V913
AY962058	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2001	2001	2001	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V914
AY962059	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2000	2000	2000	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V915
AY962076	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V969
AY962077	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V970
AY962079	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V972
AY962080	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Mato Grosso do Sul	-	-	2005	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V973
AY962081	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São Paulo	1989	1989	1989	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V974
AY962084	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Minas Gerais	1987	1987	1987	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V981
AY962086	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Canis familiaris	16227239	V986
AY962089	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V996
AY962090	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V997
AY962091	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V998
AY962092	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V999
AY962093	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Paraíba	2002	2002	2002	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V1001
AY962094	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	528	31-Aug-2005	26-Jul-2016	Vulpes vulpes	16227239	V1002
AY998244	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Mexico City	1991	1991	1991	796	04-May-2005	26-Jul-2016	Homo sapiens	16303200	V586
AY998247	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	La Paz	1991	1991	1991	607	04-May-2005	26-Jul-2016	skunk	16303200	V589
AY998248	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Quecholac	1990	1990	1990	607	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V590
AY998249	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Hermosillo	1998	1998	1998	607	04-May-2005	26-Jul-2016	Lynx rufus	16303200	V591
AY998254	AL_Cosmopolitan_AM2b	Cosmopolitan AM2b	MEX	Mexico	Chihuahua	1991	1991	1991	607	04-May-2005	26-Jul-2016	Lynx rufus	16303200	V680
AY998256	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Coacalco	1996	1996	1996	607	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V682
AY998258	AL_Cosmopolitan	Cosmopolitan	MEX	Mexico	-	-	-	2005	607	04-May-2005	26-Jul-2016	skunk	16303200	V684
AY998275	AL_RAC-SK	RAC-SK	MEX	Mexico	-	-	-	2005	799	04-May-2005	26-Jul-2016	skunk	16303200	V854
AY998283	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	San Pedro Atoyac	2001	2001	2001	607	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V863
AY998299	AL_Cosmopolitan_AM2a	Cosmopolitan AM2a	MEX	Mexico	Tecamac	2002	2002	2002	539	04-May-2005	26-Jul-2016	Canis familiaris	16303200	V931
DQ116760	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	159	27-Jul-2005	26-Jul-2016	Canis familiaris	16701914	10565dgPB
DQ116761	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9336fxBA
DQ116762	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	157	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10568gtPB
DQ116763	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	10567fxPB
DQ116764	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	157	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1407fxPE
DQ116765	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9337fxBA
DQ116766	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9338fxBA
DQ116767	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	9339fxBA
DQ116768	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Canis familiaris	16701914	10561dgPB
DQ116769	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	159	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10562gtPB
DQ116770	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	10563fxPB
DQ116771	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10564gtPB
DQ116772	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Felis catus	16701914	10566gtPB
DQ116773	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1406fxPE
DQ116774	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1409fxPE
DQ116775	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Canis familiaris	16701914	1405dgPE
DQ116776	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	158	27-Jul-2005	26-Jul-2016	Vulpes vulpes	16701914	1403fxPE
DQ146726	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	162	21-Aug-2005	26-Jul-2016	Vulpes vulpes	16701914	4372fxPI
DQ146727	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	162	21-Aug-2005	26-Jul-2016	Vulpes vulpes	16701914	4369fxPI
DQ149104	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	1394	21-Aug-2005	26-Jul-2016	Vulpes vulpes	16701914	4371fxPI
DQ275563	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1996	1996	1996	933	30-Apr-2006	26-Jul-2016	mongoose	17869366	V468
DQ275564	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1996	1996	1996	613	30-Apr-2006	26-Jul-2016	mongoose	17869366	V469
DQ275565	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1996	1996	1996	616	30-Apr-2006	26-Jul-2016	mongoose	17869366	V470
DQ275566	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1996	1996	1996	607	30-Apr-2006	26-Jul-2016	mongoose	17869366	V471
DQ275567	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1996	1996	1996	598	30-Apr-2006	26-Jul-2016	mongoose	17869366	V472
DQ275568	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1996	1996	1996	392	30-Apr-2006	26-Jul-2016	mongoose	17869366	V473
DQ275569	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	813	30-Apr-2006	26-Jul-2016	mongoose	17869366	V493
DQ275570	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	604	30-Apr-2006	26-Jul-2016	mongoose	17869366	V494
DQ275571	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	604	30-Apr-2006	26-Jul-2016	mongoose	17869366	V495
DQ275572	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	604	30-Apr-2006	26-Jul-2016	mongoose	17869366	V496
DQ275573	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	605	30-Apr-2006	26-Jul-2016	mongoose	17869366	V497
DQ275574	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	610	30-Apr-2006	26-Jul-2016	mongoose	17869366	V498
DQ275575	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	431	30-Apr-2006	26-Jul-2016	-	17869366	V499
DQ275576	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	605	30-Apr-2006	26-Jul-2016	mongoose	17869366	V501
DQ275577	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	934	30-Apr-2006	26-Jul-2016	Canis familiaris	17869366	V503
DQ275578	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	607	30-Apr-2006	26-Jul-2016	Canis familiaris	17869366	V504
DQ275579	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	933	30-Apr-2006	26-Jul-2016	Equus caballus	17869366	V507
DQ275580	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	395	30-Apr-2006	26-Jul-2016	Felis catus	17869366	V509
DQ275581	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	616	30-Apr-2006	26-Jul-2016	Canis familiaris	17869366	V510
DQ275582	AL_Cosmopolitan	Cosmopolitan	PRI	Puerto Rico	-	1997	1997	1997	964	30-Apr-2006	26-Jul-2016	Canis familiaris	17869366	V511
